date,item_id,item_name,ip_name,category,release_type,price,listing_count,sold_count,sns_mentions,trends_score,event_flag,event_type,days_to_distribution_end
2025-01-01,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1059,15,1,5,5,0,none,119
2025-01-02,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1045,14,1,4,14,0,none,118
2025-01-03,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1040,17,1,4,7,0,none,117
2025-01-04,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1050,16,1,4,7,0,none,116
2025-01-05,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1060,17,1,5,9,0,none,115
2025-01-06,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1051,17,1,4,4,0,none,114
2025-01-07,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1040,18,1,5,13,0,none,113
2025-01-08,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1033,14,1,5,14,0,none,112
2025-01-09,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1045,14,1,6,13,0,none,111
2025-01-10,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1046,17,1,5,9,0,none,110
2025-01-11,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1039,14,1,5,10,0,none,109
2025-01-12,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1057,16,1,4,6,0,none,108
2025-01-13,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1049,17,1,6,5,0,none,107
2025-01-14,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1050,17,1,4,12,0,none,106
2025-01-15,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1041,17,1,6,15,0,none,105
2025-01-16,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1063,15,1,6,15,0,none,104
2025-01-17,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1049,17,1,8,18,0,none,103
2025-01-18,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1070,14,1,9,18,0,none,102
2025-01-19,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1038,15,1,8,11,0,none,101
2025-01-20,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1048,14,1,9,18,0,none,100
2025-01-21,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1065,17,1,8,10,0,none,99
2025-01-22,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1046,16,1,10,18,1,announcement,98
2025-01-23,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1053,17,1,11,19,0,none,97
2025-01-24,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1052,14,1,7,17,0,none,96
2025-01-25,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1068,14,1,10,9,0,none,95
2025-01-26,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1061,16,1,7,9,0,none,94
2025-01-27,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1069,17,1,8,12,0,none,93
2025-01-28,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1059,17,1,5,16,0,none,92
2025-01-29,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1038,16,1,5,11,0,none,91
2025-01-30,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1050,14,1,5,17,0,none,90
2025-01-31,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1043,16,1,5,13,0,none,89
2025-02-01,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1037,18,1,6,8,0,none,88
2025-02-02,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1055,18,1,5,15,0,none,87
2025-02-03,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1062,15,1,9,10,0,none,86
2025-02-04,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1044,16,1,6,20,0,none,85
2025-02-05,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1064,17,1,10,12,0,none,84
2025-02-06,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1063,14,1,11,13,0,none,83
2025-02-07,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1064,15,1,12,19,0,none,82
2025-02-08,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1039,14,1,11,13,0,none,81
2025-02-09,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1035,18,1,11,19,1,distribution_start,80
2025-02-10,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1064,20,1,9,17,0,none,79
2025-02-11,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1066,25,1,11,13,0,none,78
2025-02-12,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1056,29,1,10,15,0,none,77
2025-02-13,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1043,36,1,8,17,0,none,76
2025-02-14,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1042,49,1,7,17,0,none,75
2025-02-15,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1043,66,1,7,20,0,none,74
2025-02-16,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1038,77,1,10,19,0,none,73
2025-02-17,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1056,73,1,7,14,0,none,72
2025-02-18,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1084,100,1,9,18,0,none,71
2025-02-19,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1083,101,1,7,17,0,none,70
2025-02-20,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1071,89,1,11,13,0,none,69
2025-02-21,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1087,94,1,10,20,0,none,68
2025-02-22,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1106,95,1,9,19,0,none,67
2025-02-23,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1107,101,1,13,18,0,none,66
2025-02-24,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1132,97,2,12,18,0,none,65
2025-02-25,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1152,106,1,16,23,0,none,64
2025-02-26,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1181,112,1,12,26,0,none,63
2025-02-27,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1211,119,2,13,19,0,none,62
2025-02-28,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1212,94,1,18,30,0,none,61
2025-03-01,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1221,107,1,19,26,0,none,60
2025-03-02,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1277,98,2,20,27,0,none,59
2025-03-03,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1295,100,2,17,32,0,none,58
2025-03-04,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1315,123,1,24,31,0,none,57
2025-03-05,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1339,100,1,18,35,0,none,56
2025-03-06,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1355,125,2,22,32,0,none,55
2025-03-07,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1331,118,2,25,33,0,none,54
2025-03-08,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1355,121,2,26,40,0,none,53
2025-03-09,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1368,117,3,32,43,0,none,52
2025-03-10,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1415,124,2,24,45,0,none,51
2025-03-11,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1449,128,2,23,41,0,none,50
2025-03-12,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1423,109,3,24,41,0,none,49
2025-03-13,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1438,102,2,28,48,0,none,48
2025-03-14,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1448,112,4,31,50,0,none,47
2025-03-15,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1479,107,3,42,54,0,none,46
2025-03-16,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1502,122,3,41,50,0,none,45
2025-03-17,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1492,132,2,38,52,1,restock,44
2025-03-18,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1535,125,3,33,51,0,none,43
2025-03-19,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1517,132,3,42,47,0,none,42
2025-03-20,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1484,132,3,34,52,0,none,41
2025-03-21,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1459,167,2,35,48,0,none,40
2025-03-22,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1491,182,3,33,50,0,none,39
2025-03-23,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1452,204,2,36,48,0,none,38
2025-03-24,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1455,179,2,31,49,0,none,37
2025-03-25,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1402,197,3,24,42,0,none,36
2025-03-26,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1377,185,2,26,45,0,none,35
2025-03-27,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1360,179,2,30,43,0,none,34
2025-03-28,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1315,177,2,33,46,0,none,33
2025-03-29,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1295,167,3,25,40,0,none,32
2025-03-30,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1272,166,3,24,41,0,none,31
2025-03-31,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1253,168,2,33,44,0,none,30
2025-04-01,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1200,157,3,25,36,0,none,29
2025-04-02,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1186,161,2,29,36,0,none,28
2025-04-03,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1132,162,2,21,38,0,none,27
2025-04-04,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1114,190,2,28,39,0,none,26
2025-04-05,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1062,160,3,27,42,0,none,25
2025-04-06,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1033,197,2,27,36,0,none,24
2025-04-07,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,1005,155,2,20,36,0,none,23
2025-04-08,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,990,181,2,32,37,0,none,22
2025-04-09,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,968,172,2,26,47,0,none,21
2025-04-10,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,963,194,3,30,38,0,none,20
2025-04-11,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,926,175,2,31,46,0,none,19
2025-04-12,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,918,164,3,30,41,0,none,18
2025-04-13,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,888,175,3,27,43,0,none,17
2025-04-14,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,875,155,2,28,39,0,none,16
2025-04-15,item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,883,173,2,33,40,0,none,15
